label,message
ham,"Let me know if you need any assistance with the task."
spam,"Your phone bill is overdue! Pay now to avoid disconnection: telecom-pay.com/bill"
ham,"I'm looking forward to our trip next month."
spam,"Limited time offer! Get a free trial of our premium service: premium-service.net/trial"
ham,"Could you recommend a good book to read?"
spam,"Win $5,000 instantly! Enter our contest: lucky-draw.xyz/enter"
ham,"The plumber will be here between 9 AM and 11 AM."
spam,"Your credit card has been flagged for suspicious activity. Verify: card-security.info/verify"
ham,"Just got home, it was a long day."
spam,"Don't miss out! Special offer for new customers. Click: newcustomer.biz/offer"
ham,"What are your plans for the weekend?"
spam,"You have received a new voice message. Listen here: voicemail-link.com/listen"
ham,"Please confirm your attendance by Friday."
spam,"Get a free quote for car insurance today! Visit: carinsurance.org/quote"
ham,"I'm sorry, I can't make it today."
spam,"Massive sale on electronics! Up to 70% off. Shop: electronics-deals.com/sale"
ham,"The dog needs a bath, he got really muddy."
spam,"Congratulations, you're eligible for a government grant! Apply: government-grants.net/apply"
ham,"Is there anything I can bring to the potluck?"
spam,"Your subscription is about to expire. Renew now: subscription-renew.com/renew"
ham,"Just finished my workout, feeling great!"
spam,"Limited supply: Get your hands on the latest gadget! Order: gadgetsrus.net/order"
ham,"Can we reschedule our call to tomorrow morning?"
spam,"You have a pending refund of $500. Claim it here: refund-portal.org/claim"
ham,"I saw a really interesting documentary last night."
spam,"Warning: Your mobile number has been targeted for spam. Protect yourself: spam-blocker.info/protect"
ham,"I'll pick up the kids from school at 3:30 PM."
spam,"Unlock exclusive content! Your membership requires renewal: member-renewal.com/update"
ham,"Happy anniversary to you both!"
spam,"Don't miss out on this amazing opportunity to earn from home! Learn more: workfromhome.biz/info"
ham,"Could you proofread this document for me?"
spam,"Get free samples of our new product! Limited stock. Order: freesamples.net/order"
ham,"I'm going to the library, do you need anything?"
spam,"Your account has been locked due to suspicious activity. Unlock now: account-lock.org/unlock"
ham,"What time is the game on tonight?"
spam,"Receive $10,000 for completing our survey! Start now: survey-rewards.com/survey"
ham,"Just wanted to say thank you again."
spam,"Congratulations! You've won a special prize from our contest! Claim: yourprize.co/redeem"
ham,"The concert was amazing! You should have been there."
spam,"Urgent notification: Your iCloud storage is full. Upgrade now: icloud-upgrade.net/storage"
ham,"I need to buy a new pair of shoes soon."
spam,"Limited time flash sale! All items 80% off. Shop: flashsale.shop/deals"
ham,"Let's plan a weekend getaway soon."
spam,"You have a new message from a hot single near you! View: singles-chat.xyz/view"
ham,"Did you enjoy your vacation?"
spam,"Your last chance to claim your prize money of $250,000! Reply NOW."
ham,"I'll be cooking dinner tonight, anything specific you'd like?"
spam,"Free gift for you! Click to collect: freegiftbox.com/collect"
ham,"Can you give me a ride to the station tomorrow morning?"
spam,"Your email account has been compromised. Change password: email-security.info/change"
ham,"I finished reading the book you recommended, it was great."
spam,"Get instant cash loan approval! No credit check required: cashloanfast.net/apply"
ham,"The new movie is out, want to watch it this weekend?"
spam,"Your credit score is too low! Fix it now: credit-fixer.org/improve"
ham,"I'm sending you the updated report now."
spam,"Exclusive VIP invite! Join our club for special perks: vip-club.com/join"
ham,"What's your favorite type of cuisine?"
spam,"You've been selected to test our new product! Get it free: product-tester.xyz/apply"
ham,"I had a really productive day at work today."
spam,"WARNING: Your online privacy is at risk. Protect yourself: privacy-guard.net/protect"
ham,"Remember to lock the doors before you leave."
spam,"Huge savings on all electronics this week! Shop now: tech-deals.biz/sale"
ham,"I'll call you back in about 30 minutes."
spam,"Your package has arrived at the local depot. Track here: deliveryservice.org/track"
ham,"Did you remember to water the garden?"
spam,"Claim your FREE discount voucher for your next purchase! Click: discount-vouchers.com/claim"
ham,"The car needs an oil change soon."
spam,"Win a brand new car in our lottery! Enter now: car-lottery.xyz/enter"
ham,"I'm planning to go for a run later."
spam,"Don't miss out on this limited-time offer for a new smartphone! Buy now: phonedeals.net/offer"
ham,"Can you pick up some fresh fruit from the market?"
spam,"Your PayPal account has been limited. Resolve issue: paypal-security.info/resolve"
ham,"I'm looking forward to the weekend."
spam,"Congratulations! You've received a loyalty bonus of $200! Claim: loyalty-bonus.com/claim"
ham,"What time should I arrive for the party?"
spam,"Emergency alert: Your social media account has been hacked. Secure: social-security.org/secure"
ham,"I need to buy a gift for my mom's birthday."
spam,"Get a free estimate for home renovation! Visit: home-renovations.net/quote"
ham,"The kids are playing outside in the garden."
spam,"You have a new message from a beautiful single! Meet now: hot-singles.xyz/meet"
ham,"I'm feeling much better today, thanks for asking."
spam,"Act fast! Last chance to claim your prize from our recent giveaway: giveaway-winners.com/claim"
ham,"What's the plan for tomorrow?"
spam,"Your online banking login details have been compromised. Verify: banking-security.info/login"
ham,"I'll be working from home today."
spam,"Get a free sample of our new health supplement! Order: health-samples.biz/order"
ham,"Did you find your lost keys?"
spam,"Congratulations! You've won a shopping spree worth $5,000! Redeem: shopping-spree.com/redeem"
ham,"I'm going to the gym after work."
spam,"Limited time sale on all fashion items! Shop now: fashion-deals.net/sale"
ham,"Can you help me move the furniture?"
spam,"Your phone bill is due. Pay now to avoid late fees: paymybill.com/billpay"
ham,"I just booked my flight tickets for the holidays."
spam,"You have a pending notification from a new friend request! View: friend-request.org/view"
ham,"The new coffee shop down the street is really good."
spam,"Win big cash prizes! Play our casino games: onlinecasino.xyz/play"
ham,"I'll bring dessert to the party."
spam,"Urgent: Your account is locked. Restore access here: account-restore.info/unlock"
ham,"What's the capital of France?"
spam,"Get your free credit report today! No hidden fees. Visit: freecreditreport.com/get"
ham,"I had a dream about flying last night."
spam,"You are pre-qualified for a personal loan up to $25,000! Apply: personalloans.net/apply"
ham,"Don't forget to turn off the lights."
spam,"Your gift awaits! Click to claim your special reward: special-reward.com/claim"
ham,"Can we meet up for coffee next week?"
spam,"Congratulations! You've been approved for a new credit card! Activate: creditcard-activate.com/activate"
ham,"The train was delayed by an hour."
spam,"Exclusive offer for you! Get a free consultation for your business: business-consult.org/free"
ham,"I'm so excited for the concert tonight!"
spam,"Your device is at risk! Renew your antivirus subscription: antivirus-renew.net/renew"
ham,"Did you finish your homework?"
spam,"Win a brand new motorcycle! Enter our raffle: motorcycle-raffle.xyz/enter"
ham,"I'll send you the recipe later."
spam,"Urgent action required: Your account is compromised. Resolve: secure-account.info/resolve"
ham,"What's your favorite season and why?"
spam,"Limited time deal! Get two for one on all our services: twobuyone.com/deals"
ham,"I'm going to the beach this weekend."
spam,"You've been chosen for a special government relief fund! Claim: relief-fund.org/claim"
ham,"The movie was really emotional."
spam,"Your package could not be delivered due to an incorrect address. Update: parcel-delivery.co/update"
ham,"I need to buy some new clothes."
spam,"Congratulations, you've won a free dinner for two! Redeem: freedinner.biz/redeem"
ham,"Can you remind me about the doctor's appointment?"
spam,"Act now! Limited stock of premium items. Shop: premium-items.net/shop"
ham,"Just finished painting the living room."
spam,"Your online profile has been viewed by hundreds of singles! Meet them: meet-singles.xyz/profile"
ham,"Did you see the news today?"
spam,"Claim your FREE cash bonus of $500! Limited offer. Visit: cashbonus.com/claim"
ham,"I'll be busy all day tomorrow."
spam,"Urgent security notice: Your password needs to be updated. Click: password-update.info/secure"
ham,"What time does the store open?"
spam,"Get a free quote for life insurance today! Visit: lifeinsurance.org/quote"
ham,"I'm going to bake a cake this afternoon."
spam,"Massive clearance sale! Everything must go. Shop: clearancesale.net/sale"
ham,"The dog needs a walk soon."
spam,"Congratulations! You've been pre-approved for a home equity loan! Learn more: homeequity.com/apply"
ham,"Is there anything else I can help you with?"
spam,"Your subscription is about to expire. Renew now to continue service: renewmysubscription.com/renew"
ham,"Just finished my run, feeling refreshed!"
spam,"Limited supply: Get your hands on the latest gaming console! Order: gaming-deals.net/order"
ham,"Can we reschedule our meeting to Tuesday?"
spam,"You have a pending refund of $750. Claim it here: refund-claims.org/claim"
ham,"I saw a really interesting art exhibition today."
spam,"Warning: Your mobile security is outdated. Update now: mobilesecurity.info/update"
ham,"I'll pick up groceries after work."
spam,"Unlock exclusive discounts! Your loyalty points are expiring. Redeem: loyalty-points.com/redeem"
ham,"Happy Easter to you and your family!"
spam,"Don't miss out on this amazing opportunity to save money on your bills! Learn more: saveonbills.biz/info"
ham,"Could you send me the photos from the party?"
spam,"Get free samples of our new beauty products! Limited stock. Order: beautysamples.net/order"
ham,"I'm going to the gym this evening."
spam,"Your account has been locked due to multiple failed login attempts. Unlock: account-recover.org/unlock"
ham,"What time is the movie starting?"
spam,"Receive $20,000 for completing our online survey! Start now: survey-money.com/survey"
ham,"Just wanted to check in and see how you're doing."
spam,"Congratulations! You've won a special prize from our weekly drawing! Claim: weeklydraw.co/redeem"
ham,"The new restaurant in town is excellent."
spam,"Urgent notification: Your Dropbox storage is full. Upgrade now: dropbox-upgrade.net/storage"
ham,"I need to fix my broken car window."
spam,"Limited time only! Flash sale on all electronics. Shop: electronicssale.shop/deals"
ham,"Let's plan a picnic for next weekend."
spam,"You have a new message from a nearby match! View: local-matches.xyz/view"
ham,"Did you have fun at the concert?"
spam,"Your last chance to claim your prize money of $300,000! Reply NOW to 9988."
ham,"I'll be making pasta for dinner tonight."
spam,"Free gift for you! Click to claim your special bonus: bonus-gift.com/claim"
ham,"Can you give me a ride to the airport?"
spam,"Your Google account has been compromised. Change password: google-security.info/change"
ham,"I finished the report, it's attached to the email."
spam,"Get instant approval for a payday loan! No credit check: paydayloanfast.net/apply"
ham,"The new series is out, want to binge-watch it?"
spam,"Your credit score is low! Improve it now with our expert advice: credit-score-boost.org/improve"
ham,"I'm sending you the meeting agenda now."
spam,"Exclusive club invite! Join for premium access and benefits: premium-club.com/join"
ham,"What's your favorite historical period?"
spam,"You've been selected to test our new software! Get it free: software-tester.xyz/apply"
ham,"I had a really relaxing weekend."
spam,"WARNING: Your personal data is exposed. Protect yourself: data-security.net/protect"
ham,"Remember to set the alarm before going to bed."
spam,"Huge savings on all household items this week! Shop now: household-deals.biz/sale"
ham,"I'll call you back in a few minutes."
spam,"Your package has arrived at your nearest post office. Track here: post-delivery.org/track"
ham,"Did you remember to feed the cat?"
spam,"Claim your FREE shopping voucher for your next purchase! Click: shopping-vouchers.com/claim"
ham,"The computer needs a new battery."
spam,"Win a brand new house in our lottery! Enter now: house-lottery.xyz/enter"
ham,"I'm planning to go hiking tomorrow."
spam,"Don't miss out on this limited-time offer for a new tablet! Buy now: tabletdeals.net/offer"
ham,"Can you pick up some fresh bread from the bakery?"
spam,"Your Facebook account has been limited. Resolve issue: facebook-security.info/resolve"
ham,"I'm looking forward to seeing you."
spam,"Congratulations! You've received a special loyalty bonus of $300! Claim: special-loyalty.com/claim"
ham,"What time should I leave for the airport?"
spam,"Emergency alert: Your email account has been compromised. Secure: email-security.org/secure"
ham,"I need to buy some new curtains."
spam,"Get a free estimate for window replacement! Visit: window-replacement.net/quote"
ham,"The kids are watching TV in the living room."
spam,"You have a new message from a beautiful stranger! Meet now: stranger-chat.xyz/meet"
ham,"I'm feeling much better after my nap."
spam,"Act fast! Last chance to claim your prize from our recent competition: competition-winners.com/claim"
ham,"What's the agenda for the meeting?"
spam,"Your online banking session has expired. Re-login here: banking-session.info/login"
ham,"I'll be back in an hour."
spam,"Get a free sample of our new pet food! Order: petfood-samples.biz/order"
ham,"Did you find your wallet?"
spam,"Congratulations! You've won a shopping spree worth $7,000! Redeem: shopping-frenzy.com/redeem"
ham,"I'm going to read a book before bed."
spam,"Limited time sale on all sports equipment! Shop now: sports-deals.net/sale"
ham,"Can you help me assemble this furniture?"
spam,"Your electricity bill is due. Pay now to avoid disconnection: paymyutility.com/billpay"
ham,"I just renewed my passport."
spam,"You have a pending notification from a new connection request! View: connection-request.org/view"
ham,"The new park is great for walking."
spam,"Win exciting prizes! Play our arcade games: onlinearcade.xyz/play"
ham,"I'll bring the drinks to the party."
spam,"Urgent: Your account is on hold. Restore access here: account-hold.info/unlock"
ham,"What's the highest mountain in the world?"
spam,"Get your free credit score today! No hidden fees. Visit: freecreditscorenow.com/get"
ham,"I had a dream about being on a tropical island."
spam,"You are pre-qualified for a business loan up to $50,000! Apply: businessloans.net/apply"
ham,"Don't forget to close the windows."
spam,"Your reward awaits! Click to claim your special bonus: special-bonus.com/claim"
ham,"Can we grab dinner together sometime next week?"
spam,"Congratulations! You've been approved for a new personal loan! Activate: personal-loan-activate.com/activate"
ham,"The flight was delayed by two hours."
spam,"Exclusive offer for you! Get a free coaching session for your career: career-coach.org/free"
ham,"I'm so excited for the holidays!"
spam,"Your device is unprotected! Renew your cybersecurity subscription: cybersecurity-renew.net/renew"
ham,"Did you finish writing your essay?"
spam,"Win a brand new boat! Enter our raffle: boat-raffle.xyz/enter"
ham,"I'll send you the document tomorrow."
spam,"Urgent action required: Your profile is incomplete. Resolve: complete-profile.info/resolve"
ham,"What's your favorite type of music?"
spam,"Limited time deal! Get three for two on all our products: threebuytwo.com/deals"
ham,"I'm going to the mountains this weekend."
spam,"You've been chosen for a special community support fund! Claim: community-fund.org/claim"
ham,"The movie was really inspiring."
spam,"Your delivery could not be completed. Reschedule here: express-delivery.co/reschedule"
ham,"I need to buy some new kitchen utensils."
spam,"Congratulations, you've won a free spa day for two! Redeem: spaday.biz/redeem"
ham,"Can you remind me about the dentist appointment?"
spam,"Act now! Limited supply of luxury items. Shop: luxury-items.net/shop"
ham,"Just finished decorating the bedroom."
spam,"Your dating profile has been viewed by hundreds of matches! Meet them: dating-matches.xyz/profile"
ham,"Did you see the latest episode?"
spam,"Claim your FREE cash advance of $1,000! Limited offer. Visit: cashadvance.com/claim"
ham,"I'll be working late tonight."
spam,"Urgent security alert: Your account has been accessed from an unknown device. Review: device-security.info/alert"
ham,"What time does the gym close?"
spam,"Get a free quote for home insurance today! Visit: homeinsurance.org/quote"
ham,"I'm going to bake some cookies this afternoon."
spam,"Massive furniture sale! Up to 60% off. Shop: furniture-sale.net/sale"
ham,"The cat needs a new toy."
spam,"Congratulations! You've been pre-approved for a personal line of credit! Learn more: personalcredit.com/apply"
ham,"Is there anything else I can do for you?"
spam,"Your membership is about to expire. Renew now to avoid interruption: renew-membership.com/renew"
ham,"Just finished my meditation, feeling calm!"
spam,"Limited supply: Get your hands on the latest drone! Order: drone-deals.net/order"
ham,"Can we reschedule our dinner to Friday?"
spam,"You have a pending refund of $1,000. Claim it here: refund-portal-2.org/claim"
ham,"I saw a really beautiful sunset today."
spam,"Warning: Your browser is infected with malware. Clean now: malware-cleaner.info/clean"
ham,"I'll pick up the dry cleaning tomorrow."
spam,"Unlock exclusive content! Your premium access expires soon. Renew: premium-access.com/renew"
ham,"Happy Thanksgiving to you and your family!"
spam,"Don't miss out on this amazing opportunity to save money on your groceries! Learn more: saveongroceries.biz/info"
ham,"Could you bring me a glass of water?"
spam,"Get free samples of our new men's grooming products! Limited stock. Order: mensgrooming.net/order"
ham,"I'm going to the library this weekend."
spam,"Your email account has been temporarily locked. Unlock now: email-unlock.org/unlock"
ham,"What time is the bus arriving?"
spam,"Receive $30,000 for participating in our research study! Start now: research-study.com/participate"
ham,"Just wanted to wish you a happy holiday season."
spam,"Congratulations! You've won a special prize from our holiday giveaway! Claim: holidaygiveaway.co/redeem"
ham,"The new park is a great place to exercise."
spam,"Urgent notification: Your OneDrive storage is full. Upgrade now: onedrive-upgrade.net/storage"
ham,"I need to replace my car tires."
spam,"Limited time offer! Get a brand new car for just $1,000. Order yours: cardeals.shop/deals"
ham,"Let's plan a barbecue for next month."
spam,"You have a new message from a nearby friend! View: nearby-friends.xyz/view"
ham,"Did you enjoy your vacation to Europe?"
spam,"Your last chance to claim your prize money of $400,000! Reply NOW to 7766."
ham,"I'll be making pizza for dinner tonight."
spam,"Free gift for you! Click to collect your exclusive reward: exclusive-reward.com/collect"
ham,"Can you give me a ride to the doctor's office?"
spam,"Your Amazon account has been compromised. Change password: amazon-security.info/change"
ham,"I finished the book, it was really thought-provoking."
spam,"Get instant cash loan approval! No credit check: instantcashloan.net/apply"
ham,"The new cafe has really good coffee."
spam,"Your credit score is low! Fix it now: credit-repair.org/improve"
ham,"I'm sending you the draft document now."
spam,"Exclusive VIP pass! Join our elite club for special access: elite-club.com/join"
ham,"What's your favorite sport?"
spam,"You've been selected to test our new gadget! Get it free: gadget-tester.xyz/apply"
ham,"I had a really busy week at work."
spam,"WARNING: Your network is vulnerable. Protect yourself: network-security.net/protect"
ham,"Remember to charge your phone before you leave."
spam,"Huge savings on all outdoor gear this week! Shop now: outdoorgear-deals.biz/sale"
ham,"I'll call you back as soon as I can."
spam,"Your package is out for delivery. Track here: deliveryservicenow.org/track"
ham,"Did you remember to feed the dog?"
spam,"Claim your FREE meal voucher for your next restaurant visit! Click: meal-vouchers.com/claim"
ham,"The washing machine is making a strange noise."
spam,"Win a brand new yacht in our lottery! Enter now: yacht-lottery.xyz/enter"
ham,"I'm planning to go cycling this weekend."
spam,"Don't miss out on this limited-time offer for a new smart TV! Buy now: smarttvdeals.net/offer"
ham,"Can you pick up some fresh vegetables from the market?"
spam,"Your Apple ID has been locked. Resolve issue: appleid-security.info/resolve"
ham,"I'm looking forward to the long weekend."
spam,"Congratulations! You've received a special birthday bonus of $400! Claim: birthday-bonus.com/claim"
ham,"What time should I meet you at the cafe?"
spam,"Emergency alert: Your bank account has been frozen. Secure: bank-security.org/secure"
ham,"I need to buy some new curtains for the living room."
spam,"Get a free estimate for roof repair! Visit: roof-repair.net/quote"
ham,"The kids are playing board games."
spam,"You have a new message from a beautiful person! Meet now: beautiful-people.xyz/meet"
ham,"I'm feeling much better after my rest."
spam,"Act fast! Last chance to claim your prize from our recent survey: survey-winners.com/claim"
ham,"What's the plan for the weekend?"
spam,"Your online shopping account has been compromised. Re-login here: shopping-security.info/login"
ham,"I'll be working late today."
spam,"Get a free sample of our new cleaning product! Order: cleaningsamples.biz/order"
ham,"Did you find your missing socks?"
spam,"Congratulations! You've won a shopping spree worth $8,000! Redeem: shopping-fever.com/redeem"
ham,"I'm going to take a walk in the park."
spam,"Limited time sale on all camping gear! Shop now: camping-deals.net/sale"
ham,"Can you help me fix my computer?"
spam,"Your water bill is due. Pay now to avoid late fees: paymywater.com/billpay"
ham,"I just renewed my driver's license."
spam,"You have a pending notification from a new message! View: new-message.org/view"
ham,"The new bakery has delicious pastries."
spam,"Win amazing prizes! Play our puzzle games: onlinepuzzles.xyz/play"
ham,"I'll bring the snacks to the movie night."
spam,"Urgent: Your account is suspended. Restore access here: account-suspend.info/unlock"
ham,"What's the biggest ocean in the world?"
spam,"Get your free credit report update today! No hidden fees. Visit: creditreportupdate.com/get"
ham,"I had a dream about flying over mountains."
spam,"You are pre-qualified for a student loan up to $30,000! Apply: studentloans.net/apply"
ham,"Don't forget to lock the car."
spam,"Your bonus awaits! Click to claim your special reward: special-bonus-2.com/claim"
ham,"Can we grab coffee tomorrow morning?"
spam,"Congratulations! You've been approved for a new home loan! Activate: homeloan-activate.com/activate"
ham,"The bus was delayed by 30 minutes."
spam,"Exclusive offer for you! Get a free financial consultation: financial-consult.org/free"
ham,"I'm so excited for the concert next week!"
spam,"Your device is at risk! Renew your internet security subscription: internetsecurity-renew.net/renew"
ham,"Did you finish reading the article?"
spam,"Win a brand new electric bike! Enter our raffle: electricbike-raffle.xyz/enter"
ham,"I'll send you the details about the event."
spam,"Urgent action required: Your membership has expired. Resolve: membership-expire.info/resolve"
ham,"What's your favorite animal?"
spam,"Limited time deal! Get four for three on all our courses: fourbuythree.com/deals"
ham,"I'm going to the lake this weekend."
spam,"You've been chosen for a special disaster relief fund! Claim: disaster-fund.org/claim"
ham,"The show was really captivating."
spam,"Your order could not be delivered. Reschedule here: delivery-express.co/reschedule"
ham,"I need to buy some new shoes for work."
spam,"Congratulations, you've won a free haircut! Redeem: freehaircut.biz/redeem"
ham,"Can you remind me about the anniversary dinner?"
spam,"Act now! Limited supply of vintage items. Shop: vintage-items.net/shop"
ham,"Just finished cleaning the garage."
spam,"Your social media profile has been viewed by hundreds of followers! Meet them: social-followers.xyz/profile"
ham,"Did you see the new movie trailer?"
spam,"Claim your FREE travel voucher of $2,000! Limited offer. Visit: travelvoucher.com/claim"
ham,"I'll be busy all morning tomorrow."
spam,"Urgent security notice: Your email has been accessed from an unknown location. Review: email-location.info/alert"
ham,"What time does the bank close?"
spam,"Get a free quote for business insurance today! Visit: businessinsurance.org/quote"
ham,"I'm going to plant some flowers this afternoon."
spam,"Massive electronics sale! Up to 80% off. Shop: electronics-mania.net/sale"
ham,"The dog needs a new leash."
spam,"Congratulations! You've been pre-approved for a second mortgage! Learn more: secondmortgage.com/apply"
ham,"Is there anything else I can help with today?"
spam,"Your subscription is about to expire. Renew now to continue uninterrupted service: renew-service.com/renew"
ham,"Just finished my yoga session, feeling relaxed!"
spam,"Limited supply: Get your hands on the latest gaming PC! Order: gamingpc-deals.net/order"
ham,"Can we reschedule our lunch to next week?"
spam,"You have a pending refund of $1,200. Claim it here: refund-portal-3.org/claim"
ham,"I saw a really impressive building today."
spam,"Warning: Your system is infected with spyware. Remove now: spyware-remover.info/remove"
ham,"I'll pick up the mail tomorrow."
spam,"Unlock exclusive features! Your premium membership expires soon. Renew: premium-membership.com/renew"
ham,"Happy New Year to you and your loved ones!"
spam,"Don't miss out on this amazing opportunity to save money on your travel! Learn more: saveontravel.biz/info"
ham,"Could you tell me the time?"
spam,"Get free samples of our new children's toys! Limited stock. Order: childrenstoys.net/order"
ham,"I'm going to the beach this summer."
spam,"Your online account has been temporarily disabled. Enable now: account-enable.org/enable"
ham,"What time is the train leaving?"
spam,"Receive $40,000 for completing our medical study! Start now: medical-study.com/participate"
ham,"Just wanted to say hello."
spam,"Congratulations! You've won a special prize from our annual raffle! Claim: annualraffle.co/redeem"
ham,"The new bridge is really impressive."
spam,"Urgent notification: Your Google Drive storage is full. Upgrade now: googledrive-upgrade.net/storage"
ham,"I need to replace my broken phone screen."
spam,"Limited time offer! Get a brand new sports car for just $5,000. Order yours: sportscar-deals.shop/deals"
ham,"Let's plan a hiking trip for next year."
spam,"You have a new message from a secret admirer! View: new-admirer.xyz/view"
ham,"Did you enjoy your trip to Asia?"
spam,"Your last chance to claim your prize money of $500,000! Reply NOW to 5544."
ham,"I'll be making tacos for dinner tonight."
spam,"Free gift for you! Click to collect your special offer: special-offer.com/collect"
ham,"Can you give me a ride to the school?"
spam,"Your Microsoft account has been compromised. Change password: microsoft-security.info/change"
ham,"I finished the article, it was very informative."
spam,"Get instant approval for a business cash advance! No credit check: businesscashadvance.net/apply"
ham,"The new museum is worth visiting."
spam,"Your credit score is very low! Fix it now: credit-solutions.org/improve"
ham,"I'm sending you the final report now."
spam,"Exclusive VIP membership! Join for priority access and benefits: priority-club.com/join"
ham,"What's your favorite board game?"
spam,"You've been selected to test our new app! Get it free: app-tester.xyz/apply"
ham,"I had a really good sleep last night."
spam,"WARNING: Your privacy is at risk. Protect yourself: privacy-defender.net/protect"
ham,"Remember to take out the trash."
spam,"Huge savings on all kitchen appliances this week! Shop now: kitchen-deals.biz/sale"
ham,"I'll call you when I'm free."
spam,"Your package has been delivered to a neighbor. Track here: neighbor-delivery.org/track"
ham,"Did you remember to lock the back door?"
spam,"Claim your FREE movie ticket voucher for your next cinema visit! Click: movie-vouchers.com/claim"
ham,"The car needs new brakes."
spam,"Win a brand new motorhome in our lottery! Enter now: motorhome-lottery.xyz/enter"
ham,"I'm planning to go swimming this weekend."
spam,"Don't miss out on this limited-time offer for a new gaming console! Buy now: gamingconsole-deals.net/offer"
ham,"Can you pick up some fresh milk from the shop?"
spam,"Your Instagram account has been limited. Resolve issue: instagram-security.info/resolve"
ham,"I'm looking forward to the party."
spam,"Congratulations! You've received a special Christmas bonus of $500! Claim: christmas-bonus.com/claim"
ham,"What time should I arrive at your place?"
spam,"Emergency alert: Your social security number has been exposed. Secure: ssn-security.org/secure"
ham,"I need to buy some new bed sheets."
spam,"Get a free estimate for deck construction! Visit: deck-construction.net/quote"
ham,"The kids are drawing pictures."
spam,"You have a new message from a verified single! Meet now: verified-singles.xyz/meet"
ham,"I'm feeling much better after the medicine."
spam,"Act fast! Last chance to claim your prize from our recent contest: contest-winners.com/claim"
ham,"What's the schedule for tomorrow?"
spam,"Your online payment account has been compromised. Re-login here: payment-security.info/login"
